filename,filepath,lat,lon,heading,pitch,location_id
51.497409_-0.176376_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h45_p20.jpg,51.497409,-0.176376,45,20,22
51.497409_-0.176376_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h90_p20.jpg,51.497409,-0.176376,90,20,22
51.497440_-0.175928_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h0_p20.jpg,51.49744,-0.175928,0,20,23
51.497440_-0.175928_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h135_p20.jpg,51.49744,-0.175928,135,20,23
51.497440_-0.175928_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h180_p20.jpg,51.49744,-0.175928,180,20,23
51.497440_-0.175928_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h225_p20.jpg,51.49744,-0.175928,225,20,23
51.497440_-0.175928_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h270_p20.jpg,51.49744,-0.175928,270,20,23
51.497440_-0.175928_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h315_p20.jpg,51.49744,-0.175928,315,20,23
51.497440_-0.175928_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h45_p20.jpg,51.49744,-0.175928,45,20,23
51.497440_-0.175928_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497440_-0.175928_h90_p20.jpg,51.49744,-0.175928,90,20,23
51.497470_-0.175479_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497470_-0.175479_h0_p20.jpg,51.49747,-0.175479,0,20,24
51.497470_-0.175479_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497470_-0.175479_h135_p20.jpg,51.49747,-0.175479,135,20,24
51.497470_-0.175479_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497470_-0.175479_h180_p20.jpg,51.49747,-0.175479,180,20,24
